# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.193999 0.00845391
0.0135649 0.187984 0.00762033
0.0147981 0.181942 0.00755636
0.0160312 0.175858 0.00569005
0.0172644 0.16972 0.00624744
0.0184976 0.163514 0.00503821
0.0197307 0.157231 0.00429589
0.0209639 0.150879 0.00407943
0.022197 0.144487 0.00356014
0.0234302 0.1381 0.0038106
0.0246633 0.131771 0.00446472
0.0258964 0.125552 0.00372445
0.0271296 0.119487 0.00375846
0.0283627 0.11361 0.00322035
0.0295958 0.107947 0.00356929
0.030829 0.102514 0.00290158
0.0320621 0.0973206 0.00308662
0.0332952 0.0923711 0.00277585
0.0345283 0.0876657 0.00269023
0.0357614 0.0832016 0.00301931
0.0369945 0.078974 0.00261934
0.0382276 0.0749766 0.00272694
0.0394606 0.071202 0.00232
0.0406937 0.0676416 0.00253125
0.0419268 0.0642867 0.00253563
0.0431599 0.0611276 0.00222734
0.0443929 0.0581545 0.00238582
0.045626 0.0553576 0.00227346
0.046859 0.0527271 0.00226949
0.048092 0.0502536 0.00209666
0.0493251 0.0479279 0.0020974
0.0505581 0.045741 0.00204295
0.0517911 0.0436844 0.00198386
0.0530241 0.0417498 0.00211063
0.0542571 0.0399294 0.00195436
0.0554901 0.0382158 0.00189876
0.0567231 0.0366019 0.00170944
0.057956 0.0350812 0.00169482
0.059189 0.0336475 0.00164583
0.060422 0.0322951 0.00167042
0.0616549 0.0310184 0.00170161
0.0628878 0.0298125 0.00164868
0.0641208 0.0286728 0.00150727
0.0653537 0.0275949 0.00138159
0.0665866 0.0265748 0.00153673
0.0678195 0.0256088 0.00151664
0.0690524 0.0246935 0.00141716
0.0702852 0.0238255 0.00136344
0.0715181 0.0230019 0.00147325
0.0727509 0.02222 0.00129182
0.0739838 0.021477 0.0012787
0.0752166 0.0207707 0.0012797
0.0764494 0.0200988 0.00129915
0.0776822 0.0194594 0.00126075
0.078915 0.0188505 0.00120997
0.0801478 0.0182703 0.00125857
0.0813806 0.0177174 0.00116216
0.0826133 0.0171902 0.001149
0.083846 0.0166871 0.00112407
0.0850788 0.0162069 0.00112432
0.0863115 0.0157481 0.00105859
0.0875442 0.0153096 0.00102809
0.0887769 0.0148902 0.0010348
0.0900096 0.0144889 0.00101165
0.0912422 0.0141045 0.00101465
0.0924749 0.0137361 0.00101357
0.0937075 0.0133827 0.000975439
0.0949401 0.0130434 0.000979551
0.0961727 0.0127174 0.000947632
0.0980216 0.0122516 0.000954785
0.100487 0.0116699 0.000962851
0.102952 0.0111281 0.000941611
0.105417 0.0106219 0.000918299
0.107882 0.0101473 0.00089677
0.110347 0.00970101 0.000910366
0.112811 0.00928043 0.000938086
0.115276 0.00888326 0.000908607
0.117741 0.0085076 0.000881809
0.120205 0.00815188 0.000862065
0.12267 0.00781479 0.00087587
0.125134 0.00749507 0.000874632
0.127598 0.00719164 0.000895785
0.130063 0.0069036 0.000849582
0.133143 0.00656394 0.000849257
0.136839 0.00618403 0.000828093
0.140535 0.0058318 0.000817559
0.144231 0.00550459 0.000828696
0.147926 0.00519963 0.000798602
0.151621 0.00491432 0.000786754
0.155316 0.00464637 0.000788882
0.159011 0.00439392 0.000770855
0.162706 0.00415571 0.000768763
0.1664 0.00393086 0.000735055
0.17071 0.00368462 0.000717547
0.175635 0.00342328 0.000696993
0.18056 0.00318205 0.000677908
0.185484 0.00295963 0.00065807
0.190408 0.00275492 0.000649897
0.195331 0.00256707 0.000638506
0.200254 0.00239514 0.000621128
0.205177 0.00223783 0.000614031
0.210714 0.00207649 0.000600238
0.216865 0.00191435 0.000586224
0.223016 0.00176836 0.000580222
0.229166 0.0016372 0.000560651
0.235314 0.00151962 0.0005526
0.241462 0.00141416 0.000536749
0.248224 0.00131026 0.000535125
0.255599 0.00120919 0.000524341
0.262973 0.00111915 0.00051919
0.270345 0.00103863 0.000512738
0.277716 0.000966035 0.000500541
0.285085 0.000899795 0.000495892
0.293066 0.000834036 0.000499674
0.301659 0.000769472 0.000503697
0.31025 0.000710671 0.000515514
0.318839 0.000656948 0.000528702
0.328038 0.000604577 0.000527597
0.337848 0.000554293 0.000524905
0.347654 0.000509201 0.000525668
0.357457 0.000468329 0.000524811
0.367256 0.000430938 0.000546746
0.377664 0.000394719 0.00057671
0.388679 0.000359881 0.000603385
0.39969 0.000328244 0.000685203
0.411307 0.000297905 0.000769501
0.423529 0.000268904 0.000857702
0.435744 0.000242585 0.000981836
0.447953 0.000218415 0.00117414
